city_id,ciy_name,
109,Alcaldía de Tegucigalpa,Honduras
110,Municipalidad de Peñalolén,Chile
111,Ayuntamiento de Culiacán,Mexico
112,Prefeitura de São Leopoldo,Brazil
113,Prefeitura Municipal de Sumaré,Brazil
114,Municipio de Tierras Altas,Panama
115,Municipalidad de Cañas,Costa Rica
116,Municipality of Tópaga,Colombia
117,Municipalidad de Peñalolén,Chile
118,Municipio de Loja,Ecuador
119,Municipalidad de Santiago,Chile
120,Metropolitan Municipality of Lima,Peru
121,Distrito Metropolitano de Quito,Ecuador
122,Ayuntamiento de Zapopan,Mexico
123,Alcaldia de Manizales,Colombia
124,San Antonio,Chile
125,Municipalidad de Portoviejo,Ecuador
126,Municipalidad de La Paz,Bolivia
127,Municipio de Loja,Ecuador
128,Alcaldia de Mosquera,Colombia
129,Prefeitura de Campo Grande,Brazil
130,Municipality of Campinas,Brazil
131,Ramona,Argentina
132,Prefeitura de Osasco,Brazil
133,Ayuntamiento de Victoria (Tamaulipas),Mexico
134,Santa Bárbara (Costa Rica),Costa Rica
135,San Sebastián de Mariquita,Colombia
136,Crespo,Argentina
137,Municipio de Chitré,Panama
138,Prefeitura de Lorena,Brazil
139,Zarcero,Costa Rica
140,Alcaldia de Pasto,Colombia
141,Municipalidad Venado Tuerto,Argentina
142,Ayuntamiento de Hermosillo,Mexico
143,Gobierno Municipal de León de los Aldamas,Mexico
144,Municipalidad de Independencia,Chile
145,Alcaldía de Villavicencio,Colombia
146,Mexico City,Mexico
147,Montes de Oca,Costa Rica
148,Alcaldía de Florencia,Colombia
149,Prefeitura de Abaetetuba,Brazil
150,Floresta,Colombia
151,Municipalidad de Temuco,Chile
152,Municipality of Caldas,Colombia
153,Prefeitura de Canápolis,Brazil
154,Municipality of Campinas,Brazil
155,Municipality of Ambato,Ecuador
156,Alcaldia de Rionegro,Colombia
157,Manta,Ecuador
158,Puerto Varas,Chile
159,Municipalidad de Belén,Costa Rica
160,Gobierno Municipal de León de los Aldamas,Mexico
161,Mexico City,Mexico
162,Municipalidad de Avellaneda,Argentina
163,Municipio de Iztapa,Guatemala
164,Municipio de Iztapa,Guatemala
165,Municipalidad de Independencia,Chile
166,Región Metropolitana de Santiago,Chile
167,Ayuntamiento de Apodaca,Mexico
168,Municipalidad de Santiago de Surco,Peru
169,City of Salvador,Brazil
170,Alcaldia de Montería,Colombia
171,Nueva Concepción,Guatemala
172,Ayuntamiento de San Luis Potosí,Mexico
173,Renca,Chile
174,Alcaldía de Panamá,Panama
175,Ayuntamiento de San Luis Potosí,Mexico
176,Prefeitura de Itá,Brazil
177,Chacabuco,Argentina
178,Municipality of Patagones,Argentina
179,Prefeitura de São Leopoldo,Brazil
180,Mexico City,Mexico
181,Municipalidad Distrital de La Molina,Peru
182,Renca,Chile
183,General Pueyrredon,Argentina
184,Alcaldía de Florencia,Colombia
185,Municipalidad de San José,Costa Rica
186,Municipio de Mérida,Mexico
187,Ciudad de Asunción,Paraguay
188,Municipality of Medellín,Colombia
189,Municipalidad de Tampico,Mexico
190,Alcaldia de Pasto,Colombia
191,Prefeitura de Extrema,Brazil
192,Región Metropolitana de Santiago,Chile
193,Alcaldía de Panamá,Panama
194,Ayuntamiento de Tonalá,Mexico
195,Municipalidad de Peñalolén,Chile
196,Prefeitura de Campo Grande,Brazil
197,Municipality of San Antonio de Areco,Argentina
198,Prefeitura de Engenheiro Coelho,Brazil
199,Municipalidad de Independencia,Chile
200,Alcaldía Distrital de Barranquilla,Colombia
201,City of Monterrey,Mexico
202,Crespo,Argentina
203,Municipalidad de la Ciudad de Neuquén,Argentina
204,Municipalidad de Comas,Peru
205,Prefeitura de Pau Brasil,Brazil
206,Prefeitura de Canápolis,Brazil
207,Prefeitura de São Leopoldo,Brazil
208,Alcaldia de Mosquera,Colombia
209,Alcaldia de Rionegro,Colombia
210,Municipalidad de Belén,Costa Rica
211,Prefeitura Municipal de Caieiras,Brazil
212,Gámeza,Colombia
213,Municipio de Santa Catarina Pinula,Guatemala
214,Municipalidad de Puerto Barrios,Guatemala
215,Prefeitura de Jundiaí,Brazil
216,Rio das Flores,Brazil
217,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),Mexico
218,Alcaldia de Manizales,Colombia
219,Tilarán,Costa Rica
220,Prefeitura de Itatiba,Brazil
221,Municipalidad de Temuco,Chile
222,Municipio La Chorrera,Panama
223,Prefeitura de Vitória,Brazil
224,Municipio de Cajamarca,Colombia
225,Municipalidad de Concepción,Chile
226,Alcaldía de Ibagué,Colombia
227,Municipalidad de Providencia,Chile
228,Reconquista,Argentina
229,Prefeitura de Manaus,Brazil
230,Mongua,Colombia
231,Municipalidad de Belén,Costa Rica
232,San Bernardo,Chile
233,Prefeitura de Rolândia,Brazil
234,Prefeitura de Pedreira,Brazil
235,Santa Fé Ciudad,Argentina
236,Oreamuno,Costa Rica
237,Alcaldía de Sincelejo,Colombia
238,Prefeitura Municipal de Sertãozinho,Brazil
239,Comodoro Rivadavia,Argentina
240,Prefeitura de Aracaju,Brazil
241,Municipalidad Cerro Navia,Chile
242,Municipality of San Martín de los Andes,Argentina
243,Prefeitura de Brumadinho,Brazil
244,San Sebastián de Mariquita,Colombia
245,Municipalidad de Belén,Costa Rica
246,Municipalidad de Desamparados,Costa Rica
247,Municipalidad de Miraflores,Peru
248,Municipalidad de Desamparados,Costa Rica
249,Nueva Concepción,Guatemala
250,Prefeitura de Pato Branco,Brazil
251,San Antonio,Chile
252,Ayuntamiento de Chihuahua,Mexico
253,Municipality of Fortaleza,Brazil
254,Alcaldia de Cartago,Colombia
255,Prefeitura de Florianópolis,Brazil
256,Municipalidad de Magdalena del Mar,Peru
257,Municipalidad Venado Tuerto,Argentina
258,Junta Municipal de Medio Ambiente Lagunas (JIMAL),Mexico
259,Alcaldía de Yopal,Colombia
260,Prefeitura de Palmas,Brazil
261,Guatemala City,Guatemala
262,San Antonio,Chile
263,Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO),Mexico
264,Municipalidad de Copiapó,Chile
265,Prefeitura da Estância Turística de ITU,Brazil
266,San Rafael de Heredia,Costa Rica
267,Municipalidad de Independencia (Peru),Peru
268,Prefeitura do Rio de Janeiro,Brazil
269,Municipalidad de Comas,Peru
270,Municipality of Belo Horizonte,Brazil
271,Gámeza,Colombia
272,Municipality of Belo Horizonte,Brazil
273,Prefeitura Municipal de Araçatuba,Brazil
274,Alcaldía de Cúcuta,Colombia
275,Itagüí,Colombia
276,Alcaldia de Rionegro,Colombia
277,Prefeitura de Guanhães,Brazil
278,Prefeitura de Canápolis,Brazil
279,Municipality of San Pedro Tlaquepaque,Mexico
280,Municipality of Rauch,Argentina
281,Prefeitura Municipal de Sertãozinho,Brazil
282,Prefeitura de Campina Grande,Brazil
283,Municipality of Rauch,Argentina
284,Prefeitura de Curvelo,Brazil
285,Renca,Chile
286,Crespo,Argentina
287,Prefeitura de Engenheiro Coelho,Brazil
288,Prefeitura de Nova Santa Rita,Brazil
289,Alcaldía Distrital de Santa Marta,Colombia
290,Municipio de Bucaramanga,Colombia
291,Godoy Cruz,Argentina
292,Alcaldía de Tegucigalpa,Honduras
293,Municipality of Medellín,Colombia
294,Municipalidad de Machu Picchu,Peru
295,Municipality of Tópaga,Colombia
296,Alcaldía de Yopal,Colombia
297,Municipalidad Venado Tuerto,Argentina
298,Crespo,Argentina
299,Municipalidad de San José,Costa Rica
300,Municipalidad de Independencia,Chile
301,Prefeitura de Duque de Caxias,Brazil
302,Prefeitura de São Cristóvão,Brazil
303,Prefeitura do Rio de Janeiro,Brazil
304,Prefeitura de Itá,Brazil
305,Alcaldia de Rionegro,Colombia
306,Puerto Varas,Chile
307,Prefeitura Municipal de João Pessoa,Brazil
308,Prefeitura de Sorocaba,Brazil
309,Municipalidad de Concepción,Chile
310,Renca,Chile
311,Mexico City,Mexico
312,Godoy Cruz,Argentina
313,Reconquista,Argentina
314,Prefeitura de Manaus,Brazil
315,Prefeitura do Rio de Janeiro,Brazil
316,Prefeitura de Osasco,Brazil
317,Alcaldia de Montería,Colombia
318,Prefeitura de Serra Talhada,Brazil
319,Valle de Santiago,Mexico
320,Mongui,Colombia
321,Prefeitura do Rio de Janeiro,Brazil
322,Gobierno Municipal de León de los Aldamas,Mexico
323,Camilo Aldao,Argentina
324,Municipalidad de Santiago de Surco,Peru
325,Prefeitura do Rio de Janeiro,Brazil
326,Itagüí,Colombia
327,Ciudad de Juárez,Mexico
328,Municipalidad de Peñalolén,Chile
329,Ciudad de Mendoza,Argentina
330,Municipio de San Pedro de Urabá,Colombia
331,City of Buenos Aires,Argentina
332,Alcaldia de Mosquera,Colombia
333,Municipalidad de Talca,Chile
334,Corrales,Colombia
335,Prefeitura de Campina Grande,Brazil
336,Municipalidad de Quepos,Costa Rica
337,Prefeitura de Porto Velho,Brazil
338,Município de Aparecida,Brazil
339,Prefeitura de Engenheiro Coelho,Brazil
340,Renca,Chile
341,Prefeitura Municipal de São José dos Campos,Brazil
342,Prefeitura de Betim,Brazil
343,Prefeitura de São Luís,Brazil
344,Municipality of Santa Catarina,Mexico
345,Prefeitura do Município de Maringá,Brazil
346,Prefeitura de Passo de Torres,Brazil
347,Gobierno Autónomo Municipal de Tarija,Bolivia
348,Municipio de Torreón,Mexico
349,Godoy Cruz,Argentina
350,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),Mexico
351,San Antonio,Chile
352,Ciudad de Asunción,Paraguay
353,Prefeitura de Presidente Prudente,Brazil
354,Alcaldía de Villavicencio,Colombia
355,Municipalidad de Belén,Costa Rica
356,Municipalidad de Avellaneda,Argentina
357,Alajuela,Costa Rica
358,Aipromades Lago de Chapala,Mexico
359,Ayuntamiento de Morelia,Mexico
360,Municipality of Recife,Brazil
361,Junta Intermunicipal de la Cuenca Baja del Rio Ayuquila (JIRA),Mexico
362,Municipality of Tópaga,Colombia
363,Municipalidad de Belén,Costa Rica
364,Prefeitura de Quissamã,Brazil
365,Municipalidad de San José,Costa Rica
366,Prefeitura de Itapoá,Brazil
367,Municipio de Colima,Mexico
368,Prefeitura de Ilhabela,Brazil
369,Prefeitura de Campina Grande,Brazil
370,Manta,Ecuador
371,Municipality of Rauch,Argentina
372,Prefeitura de Niterói,Brazil
373,Municipalidad de San Isidro (Lima),Peru
374,Prefeitura de São José dos Pinhais,Brazil
375,Santa Fé Ciudad,Argentina
376,Municipality of Recife,Brazil
377,Bogotá Distrito Capital,Colombia
378,Concejo Municipal de Distrito de Monte Verde,Costa Rica
379,Municipality of Caldas,Colombia
380,Alcaldia de Floridablanca,Colombia
381,Prefeitura Municipal de Canoas,Brazil
382,Prefeitura de Guanhães,Brazil
383,Municipalidad  de Rosario,Argentina
384,Prefeitura de São Leopoldo,Brazil
385,Prefeitura Municipal de Caieiras,Brazil
386,Municipio de Maneiro,Venezuela
387,Coatzacoalcos,Mexico
388,Prefeitura de Campina Grande,Brazil
389,Ayuntamiento de Cuernavaca,Mexico
390,Prefeitura de Itatiba,Brazil
391,Presidencia Municipal de Saltillo,Mexico
392,Godoy Cruz,Argentina
393,Municipality of Coronel Dominguez,Argentina
394,Municipalidad de San Carlos de Bariloche,Argentina
395,Municipalidad de La Unión,Costa Rica
396,Puerto Varas,Chile
397,Alcaldía Distrital de Barranquilla,Colombia
398,Alcaldía de Cuenca,Ecuador
399,Bogotá Distrito Capital,Colombia
400,Gobierno Autónomo Municipal de Tarija,Bolivia
401,Oreamuno,Costa Rica
402,Prefeitura da Cidade de São José do Rio Preto,Brazil
403,Metepec,Mexico
404,Municipality of Medellín,Colombia
405,Prefeitura de Engenheiro Coelho,Brazil
406,Municipalidad de Tampico,Mexico
407,Prefeitura de São Paulo,Brazil
408,Prefeitura de Vitória,Brazil
409,Municipality of San Martín de los Andes,Argentina
410,Municipio de Tierras Altas,Panama
411,Prefeitura do município de Paiçandu,Brazil
412,Municipio de Loja,Ecuador
413,Municipio de Torreón,Mexico
414,Municipio de Iztapa,Guatemala
415,Santiago de Guayaquil,Ecuador
416,Municipio de Maneiro,Venezuela
417,Alcaldia Distrital de Cartagena de Indias,Colombia
418,Lince,Peru
419,Alcaldia de Madrid,Colombia
420,Municipalidad de Concepción,Chile
421,Mongui,Colombia
422,Prefeitura do município de Paiçandu,Brazil
423,Santa Bárbara (Costa Rica),Costa Rica
424,Prefeitura de Tangará da Serra,Brazil
425,Alcaldía de Ríohacha,Colombia
426,Municipality of Campinas,Brazil
427,Prefeitura de Pau Brasil,Brazil
428,Municipalidad de San Isidro (Lima),Peru
429,Puerto Cortés,Honduras
430,Prefeitura de Curvelo,Brazil
431,Gobierno Municipal de Toluca de Lerdo,Mexico
432,Prefeitura de Lorena,Brazil
433,Alcaldía de Sincelejo,Colombia
434,Prefeitura de Cordeirópolis,Brazil
435,Municipalidad Venado Tuerto,Argentina
436,San Rafael de Heredia,Costa Rica
437,Municipalidad Venado Tuerto,Argentina
438,Prefeitura de Caruaru,Brazil
439,Prefeitura Municipal de Petrolina,Brazil
440,Prefeitura de Joaçaba,Brazil
441,Municipalidad Distrital de Ate,Peru
442,Mongui,Colombia
443,Prefeitura de Betim,Brazil
444,Municipality of San Martín de los Andes,Argentina
445,Gámeza,Colombia
446,Municipality of Medellín,Colombia
447,Prefeitura de Serra Talhada,Brazil
448,Coatzacoalcos,Mexico
449,Alcaldia de Montería,Colombia
450,Ayuntamiento de Culiacán,Mexico
451,Chacabuco,Argentina
452,Prefeitura de Ilhabela,Brazil
453,Prefeitura de Carnaúba dos Dantas,Brazil
454,Prefeitura de Guanhães,Brazil
455,Guatemala City,Guatemala
456,Municipalidad de San Borja,Peru
457,Municipality of Tópaga,Colombia
458,Gobierno Municipal de León de los Aldamas,Mexico
459,Municipality of Tópaga,Colombia
460,Ayuntamiento de Cuernavaca,Mexico
461,Municipio de Tierras Altas,Panama
462,Prefeitura de Serra Talhada,Brazil
463,Rio das Flores,Brazil
464,Município de Aparecida,Brazil
465,Prefeitura de Iperó,Brazil
466,Alcaldia de Floridablanca,Colombia
467,Prefeitura da Cidade de São José do Rio Preto,Brazil
468,Municipalidad de Provincial de Arequipa,Peru
469,Municipio de Escuintla,Guatemala
470,Prefeitura de Pilões,Brazil
471,Municipalidad Distrital de La Molina,Peru
472,Prefeitura de Betim,Brazil
473,Beteitiva,Colombia
474,Municipalidad de Vitacura,Chile
475,Prefeitura de Guanhães,Brazil
476,Puerto Varas,Chile
477,Municipalidad de Vitacura,Chile
478,Mongua,Colombia
479,Gobierno Municipal de León de los Aldamas,Mexico
480,Gobierno Municipal de León de los Aldamas,Mexico
481,Prefeitura de Conde (Paraíba),Brazil
482,Municipalidad de Montecarlo,Argentina
483,Aipromades Lago de Chapala,Mexico
484,Ciudad de Mendoza,Argentina
485,Gobierno Municipal de León de los Aldamas,Mexico
486,Municipalidad  de Rosario,Argentina
487,Santa Bárbara (Costa Rica),Costa Rica
488,San Pedro Garza García,Mexico
489,Playa del Carmen,Mexico
490,Municipality of Recife,Brazil
491,City of Buenos Aires,Argentina
492,Bogotá Distrito Capital,Colombia
493,Prefeitura de Ilhabela,Brazil
494,Lince,Peru
495,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),Mexico
496,Municipalidad de Puerto Barrios,Guatemala
497,Prefeitura de Curvelo,Brazil
498,Municipalidad de la Ciudad de Neuquén,Argentina
499,Municipalidad de San José,Costa Rica
500,Municipio de Tierras Altas,Panama
501,Municipalidad de General Alvear (Mendoza),Argentina
502,City of Salvador,Brazil
503,Prefeitura de Monteiro Lobato,Brazil
504,Municipalidad Distrital de Jesús María,Peru
505,Nueva Concepción,Guatemala
506,Prefeitura Municipal de Sertãozinho,Brazil
507,San Pedro Garza García,Mexico
508,Prefeitura Municipal de Canoas,Brazil
509,Alcaldia de Pereira,Colombia
510,Godoy Cruz,Argentina
511,City of Salvador,Brazil
512,Prefeitura de Guarulhos,Brazil
513,Municipalidad de Montecarlo,Argentina
514,Ayuntamiento de Apodaca,Mexico
515,Guaminí,Argentina
516,Lince,Peru
517,Municipalidad de Independencia,Chile
518,Prefeitura de Serra Talhada,Brazil
519,Municipalidad  de Valparaíso,Chile
520,Renca,Chile
521,Municipio de Escuintla,Guatemala
522,San Sebastián de Mariquita,Colombia
523,Municipalidad de Belén,Costa Rica
524,Zarcero,Costa Rica
525,Mexico City,Mexico
526,Municipalidad de Providencia,Chile
527,Prefeitura de Aracaju,Brazil
528,Santa Ana (Costa Rica),Costa Rica
529,Alcaldia Distrital de Cartagena de Indias,Colombia
530,Manta,Ecuador
531,Ciudad de Asunción,Paraguay
532,Alcaldia de Pereira,Colombia
533,San Rafael de Heredia,Costa Rica
534,Municipality of Campinas,Brazil
535,Ayuntamiento de Jesús María,Mexico
536,Municipio de Mérida,Mexico
537,Municipality of Santa Catarina,Mexico
538,Oreamuno,Costa Rica
539,Municipalidad  de Rosario,Argentina
540,Prefeitura de Osasco,Brazil
541,Prefeitura de Alexânia,Brazil
542,Puerto Varas,Chile
543,Prefeitura de São José dos Pinhais,Brazil
544,Prefeitura da Cidade de São José do Rio Preto,Brazil
545,Distrito Metropolitano de Quito,Ecuador
546,Prefeitura de Campo Grande,Brazil
547,Municipalidad de Maipú,Chile
548,Prefeitura de Engenheiro Coelho,Brazil
549,Prefeitura de Sorocaba,Brazil
550,Prefeitura de Pilões,Brazil
551,San Carlos Sud,Argentina
552,Prefeitura de Itatiba,Brazil
553,Alcaldía de Ibagué,Colombia
554,Prefeitura de Rafard,Brazil
555,Prefeitura de Dois Irmãos,Brazil
556,Zarcero,Costa Rica
557,Ayuntamiento de Jesús María,Mexico
558,Prefeitura de Sorocaba,Brazil
559,Concejo Municipal de Distrito de Monte Verde,Costa Rica
560,City of Goiânia,Brazil
561,Ayuntamiento de Hermosillo,Mexico
562,Municipalidad de Montecarlo,Argentina
563,Municipalidad de Miraflores,Peru
564,Prefeitura de Abaetetuba,Brazil
565,Municipalidad de Talca,Chile
566,Municipality of Patagones,Argentina
567,City of Buenos Aires,Argentina
568,Municipalidad de Maipú,Chile
569,Prefeitura de São Leopoldo,Brazil
570,Municipalidad de Concepción,Chile
571,Municipalidad de Quepos,Costa Rica
572,Ayuntamiento de Hermosillo,Mexico
573,Camilo Aldao,Argentina
574,Municipalidad de Provincial de Arequipa,Peru
575,Bogotá Distrito Capital,Colombia
576,San Pedro de la Paz,Chile
577,Prefeitura de Nova Santa Rita,Brazil
578,Prefeitura de Caruaru,Brazil
579,Municipality of Caldas,Colombia
580,Alcaldía de Tegucigalpa,Honduras
581,Municipality of San Antonio de Areco,Argentina
582,San Bernardo,Chile
583,Prefeitura de Rafard,Brazil
584,Gobierno Municipal de León de los Aldamas,Mexico
585,Prefeitura de Nova Santa Rita,Brazil
586,Floresta,Colombia
587,San Rafael de Heredia,Costa Rica
588,Municipalidad de Santiago,Chile
589,Municipalidad de Talca,Chile
590,Guaminí,Argentina
591,Reconquista,Argentina
592,Alcaldia de Valdivia,Chile
593,Prefeitura do Jaboatão dos Guararapes,Brazil
594,Municipalidad de Providencia,Chile
595,Prefeitura de Aracaju,Brazil
596,Municipalidad de Miraflores,Peru
597,Prefeitura de Conde (Paraíba),Brazil
598,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),Mexico
599,Prefeitura de Manaus,Brazil
600,Ciudad Madero,Mexico
601,Municipio de Escuintla,Guatemala
602,Prefeitura do Jaboatão dos Guararapes,Brazil
603,Alcaldia Distrital de Cartagena de Indias,Colombia
604,Alcaldía de Tegucigalpa,Honduras
605,Ayuntamiento de Atenguillo,Mexico
606,Prefeitura de Palmas,Brazil
607,Gámeza,Colombia
608,Prefeitura de Brasiléia,Brazil
609,Municipalidad de General Alvear (Mendoza),Argentina
610,Prefeitura de Cocal do Sul,Brazil
611,Ayuntamiento de Hermosillo,Mexico
612,Alcaldia de Montería,Colombia
613,Municipality of Campinas,Brazil
614,Prefeitura de Treze Tílias,Brazil
615,Junta Intermunicipal de Medio Ambiente de la Costa Sur (JICOSUR),Mexico
616,Prefeitura de Iperó,Brazil
617,Prefeitura de Guabiruba,Brazil
618,Playa del Carmen,Mexico
619,Municipalidad de San José,Costa Rica
620,Municipalidad Distrital de Jesús María,Peru
621,Gámeza,Colombia
622,Metepec,Mexico
623,Municipalidad de Machu Picchu,Peru
624,Alcaldía de Sincelejo,Colombia
625,Ayuntamiento de Zapopan,Mexico
626,Ayuntamiento de Zapopan,Mexico
627,Prefeitura do Rio de Janeiro,Brazil
628,Junta Intermunicipal de Medio Ambiente Altos Norte (JIAN),Mexico
629,Renca,Chile
630,Prefeitura de Palmas,Brazil
631,Prefeitura de Serra Talhada,Brazil
632,Lince,Peru
633,Municipalidad de Peñalolén,Chile
634,Prefeitura Municipal de João Pessoa,Brazil
635,Municipality of Caldas,Colombia
636,Montes de Oca,Costa Rica
637,Municipalidad de San José,Costa Rica
638,Municipalidad de San Carlos de Bariloche,Argentina
639,Municipio de Tierras Altas,Panama
640,Corrales,Colombia
641,Prefeitura de Canápolis,Brazil
642,Alcaldia de Pasto,Colombia
643,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),Mexico
644,Municipality of Fortaleza,Brazil
645,Prefeitura de Campina Grande,Brazil
646,Municipalidad de la Ciudad de Neuquén,Argentina
647,Municipalidad de Cañas,Costa Rica
648,Municipalidad de Peñalolén,Chile
649,Alcaldia de Rionegro,Colombia
650,Municipio de Torreón,Mexico
651,Municipality of Campinas,Brazil
652,Prefeitura de Rio Branco,Brazil
653,Prefeitura de Goiás (Goiás Velho),Brazil
654,Paraíso,Costa Rica
655,Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR),Mexico
656,Beteitiva,Colombia
657,Municipalidad de La Unión,Costa Rica
658,Municipalidad de Puerto Barrios,Guatemala
659,Ayuntamiento de Cuernavaca,Mexico
660,Municipio La Chorrera,Panama
661,Reconquista,Argentina
662,Municipio de Chitré,Panama
663,San Antonio,Chile
664,Ayuntamiento de Apodaca,Mexico
665,Prefeitura de São Paulo,Brazil
666,Municipalidad de la Ciudad de Neuquén,Argentina
667,Municipalidad de Quepos,Costa Rica
668,Prefeitura de Dois Irmãos,Brazil
669,Municipalidad de Peñalolén,Chile
670,Metropolitan Municipality of Lima,Peru
671,Floresta,Colombia
672,Municipio de San Jose,Guatemala
673,Municipio de Iztapa,Guatemala
674,Junta Intermunicipal de Medio Ambiente de Sierra Occidental y Costa (JISOC),Mexico
675,Ayuntamiento de Morelia,Mexico
676,Prefeitura de Sorocaba,Brazil
677,Municipalidad de Independencia (Peru),Peru
678,Prefeitura de Extrema,Brazil
679,Prefeitura de Conde (Paraíba),Brazil
680,Municipalidad de Vitacura,Chile
681,Prefeitura da Estância Turística de ITU,Brazil
682,Municipalidad de Independencia (Peru),Peru
683,Prefeitura de Abaetetuba,Brazil
684,Puerto Cortés,Honduras
685,Prefeitura de Caruaru,Brazil
686,Municipio de Escuintla,Guatemala
687,Junta Municipal de Medio Ambiente Lagunas (JIMAL),Mexico
688,Municipalidad de Quepos,Costa Rica
689,Municipalidad de la Ciudad de Neuquén,Argentina
690,Metepec,Mexico
691,Ayuntamiento de Hermosillo,Mexico
692,Ayuntamiento de Centro,Mexico
693,Tilarán,Costa Rica
694,Municipalidad de Vitacura,Chile
695,Prefeitura de Curvelo,Brazil
696,Municipalidad  de Rosario,Argentina
697,Mexico City,Mexico
698,Prefeitura de Presidente Prudente,Brazil
699,Ayuntamiento de San Luis Potosí,Mexico
700,Metropolitan Municipality of Lima,Peru
